number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
78,0.003587038175692899,2024-10-16 10:20:19.163137,2024-10-16 10:20:19.788621,0 days 00:00:00.625484,0.9907716923355574,0.08965722249308188,9,50,0.7829453283887827,0.907440901258748,0.9565168120733611,COMPLETE
79,0.0033077699117136424,2024-10-16 10:20:19.199689,2024-10-16 10:20:19.877887,0 days 00:00:00.678198,0.987972222655369,0.09741312727882565,9,50,0.853541636506601,0.9096035162431764,0.9599021884785649,COMPLETE
80,0.009527215113913906,2024-10-16 10:20:19.313946,2024-10-16 10:20:19.886738,0 days 00:00:00.572792,0.9853282734004385,0.03727469235034826,9,50,0.8418622092157676,0.8865466497915854,0.8845081471328895,COMPLETE
81,0.00957592134046665,2024-10-16 10:20:19.515378,2024-10-16 10:20:20.231166,0 days 00:00:00.715788,0.9806701130484361,0.03693232542039304,9,50,0.8514352686053639,0.8869924002560543,0.883917715166834,COMPLETE
82,0.010222086280892774,2024-10-16 10:20:19.618984,2024-10-16 10:20:20.261711,0 days 00:00:00.642727,0.9869922848112546,0.035302448261792366,9,50,0.839597480086724,0.8843127690427279,0.8760847035957411,COMPLETE
83,0.0035850108127604384,2024-10-16 10:20:19.795545,2024-10-16 10:20:20.471939,0 days 00:00:00.676394,0.984880144445711,0.09883393081168074,9,50,0.8435153143273376,0.9000834351190675,0.9565413883948469,COMPLETE
84,0.003444303416763694,2024-10-16 10:20:19.889816,2024-10-16 10:20:20.589559,0 days 00:00:00.699743,0.9848696911977306,0.09755618708971964,9,50,0.8564984014471827,0.9042257316824759,0.9582470870362093,COMPLETE
85,0.003643390904968775,2024-10-16 10:20:19.894765,2024-10-16 10:20:20.562910,0 days 00:00:00.668145,0.9993302136923558,0.08892810352701815,9,50,0.8691502822575704,0.9055326869412665,0.9558336868326299,COMPLETE
86,0.00352437022310648,2024-10-16 10:20:20.237646,2024-10-16 10:20:20.794881,0 days 00:00:00.557235,0.9997170262282709,0.09549104065841861,9,50,0.581227970140975,0.9118788049851777,0.9572764924073365,COMPLETE
87,0.0034645498284122003,2024-10-16 10:20:20.269985,2024-10-16 10:20:20.908331,0 days 00:00:00.638346,0.9950587827061949,0.09303280846627228,9,50,0.8159639975227613,0.9079143311544429,0.9580016537624522,COMPLETE
88,0.003810421371303872,2024-10-16 10:20:20.478695,2024-10-16 10:20:21.081679,0 days 00:00:00.602984,0.9989252262338557,0.09923184589106514,8,50,0.8690125836288656,0.9152766739688099,0.9538088917784987,COMPLETE
89,0.007184607684401829,2024-10-16 10:20:20.569602,2024-10-16 10:20:21.228008,0 days 00:00:00.658406,0.997711502916715,0.04606084032920908,9,50,0.8674945740754636,0.8956165534800251,0.9129059600655989,COMPLETE
90,0.0033577808957561397,2024-10-16 10:20:20.598899,2024-10-16 10:20:21.311646,0 days 00:00:00.712747,0.985599750493944,0.09770762471239079,9,50,0.8654671758101498,0.9073651013789051,0.9592959398380425,COMPLETE
