number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conjunction_units,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_num_conjunctions,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
109,0.005358651538915103,2024-10-15 23:00:52.164704,2024-10-15 23:01:09.608469,0 days 00:00:17.443765,32,160,0.1,50,96,0.0004271416105571059,5,adam,0.35715683163448936,0.935040766089698,COMPLETE
110,0.04959847217875044,2024-10-15 23:01:09.613926,2024-10-15 23:01:21.882411,0 days 00:00:12.268485,32,128,0.2,50,64,0.0003468575360890034,5,sgd,0.4661779496497922,0.39875195607412994,COMPLETE
111,0.003672782738609988,2024-10-15 23:01:21.887872,2024-10-15 23:01:36.823791,0 days 00:00:14.935919,32,96,0.1,50,64,0.0004726916317898937,5,adam,0.5780143087772157,0.9554773899204895,COMPLETE
112,0.005267981583636883,2024-10-15 23:01:36.829517,2024-10-15 23:02:23.159419,0 days 00:00:46.329902,32,176,0.1,50,64,0.0004460048648905434,15,adam,0.38067415998190834,0.9361398953745156,COMPLETE
113,0.0034747767082074304,2024-10-15 23:02:23.165042,2024-10-15 23:02:50.655656,0 days 00:00:27.490614,32,96,0.1,50,64,0.0005937523543697063,10,adam,0.5730117988793788,0.9578776803575823,COMPLETE
114,0.0035644283506399616,2024-10-15 23:02:50.661500,2024-10-15 23:03:06.323853,0 days 00:00:15.662353,32,96,0.1,50,64,0.0004971362106102856,5,adam,0.5528638950431561,0.956790895376524,COMPLETE
115,0.005016014817003553,2024-10-15 23:03:06.329511,2024-10-15 23:03:22.728521,0 days 00:00:16.399010,32,96,0.1,50,96,0.0005077182977108298,5,adam,0.4064749046281756,0.9391943145716762,COMPLETE
116,0.003619835870254635,2024-10-15 23:03:22.734193,2024-10-15 23:03:47.327073,0 days 00:00:24.592880,32,64,0.1,50,64,0.00066249440677578,10,adam,0.5881737531150685,0.9561192282601046,COMPLETE
117,0.004086932702051378,2024-10-15 23:03:47.332492,2024-10-15 23:04:02.497611,0 days 00:00:15.165119,32,64,0.1,50,64,0.0006572419482995521,5,adam,0.5363510670655482,0.9504569357719485,COMPLETE
118,0.18162336341672375,2024-10-15 23:04:02.503035,2024-10-15 23:04:15.191021,0 days 00:00:12.687986,32,64,0.1,50,64,0.0005885890593806503,15,adadelta,0.07420231366633064,-1.201694673013086,COMPLETE
119,0.003660637611690298,2024-10-15 23:04:15.196851,2024-10-15 23:04:44.069118,0 days 00:00:28.872267,32,64,0.1,50,192,0.0005633238565273594,10,adam,0.5697641915360093,0.9556246169112197,COMPLETE
120,0.004788261010404545,2024-10-16 08:53:47.483863,2024-10-16 08:53:59.479026,0 days 00:00:11.995163,32,96,0.1,50,64,0.0007138132111273796,5,adam,0.45952260143894547,0.9419552167668248,COMPLETE
121,0.004797502047607969,2024-10-16 08:53:59.486582,2024-10-16 08:54:24.362993,0 days 00:00:24.876411,32,64,0.1,50,64,0.000529458280678631,10,adam,0.45376139335352156,0.9418431940512383,COMPLETE
122,0.003433728534438781,2024-10-16 08:54:24.368635,2024-10-16 08:54:51.879994,0 days 00:00:27.511359,32,96,0.1,50,64,0.0006255297762404781,10,adam,0.5689228807135466,0.9583752790355452,COMPLETE
