number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
101,0.008309548156702486,2024-10-17 12:04:53.149726,2024-10-17 12:10:27.273073,0 days 00:05:34.123347,48,50,0.005575924018722385,5,40,16,RMSprop,0.00018902324188862748,0.9573168137703187,80,0.1377882945399365,COMPLETE
102,0.008548851257745526,2024-10-17 12:05:30.304145,2024-10-17 12:11:07.955248,0 days 00:05:37.651103,48,50,0.0056683069359785955,5,40,16,RMSprop,0.0002532108554529128,1.0044944994334848,80,0.15528316947255247,COMPLETE
103,0.00391937379190326,2024-10-17 12:05:46.715000,2024-10-17 12:09:44.913004,0 days 00:03:58.198004,72,50,0.005447140735292478,5,32,16,RMSprop,0.00025013739117518696,0.8827700429804832,80,0.5164543211274241,COMPLETE
104,0.004481625722112538,2024-10-17 12:07:53.684896,2024-10-17 12:11:45.346468,0 days 00:03:51.661572,72,50,0.005540949800114143,5,32,36,RMSprop,0.0002506262342327225,1.0003275637905227,80,0.38399435512318236,COMPLETE
105,0.0045179112568992435,2024-10-17 12:09:44.921727,2024-10-17 12:13:00.980887,0 days 00:03:16.059160,72,50,0.005529742266398694,5,32,16,RMSprop,0.00024605962142092234,0.8871079679350481,80,0.43137273707349366,COMPLETE
106,0.0040924732657686685,2024-10-17 12:09:51.637112,2024-10-17 12:13:03.988621,0 days 00:03:12.351509,72,50,0.005574079705339878,5,32,16,RMSprop,0.00024904445375123377,0.884138675996826,80,0.5150947090921218,COMPLETE
107,0.004965772826157909,2024-10-17 12:10:27.281715,2024-10-17 12:13:22.751471,0 days 00:02:55.469756,72,50,0.0030824037024458563,5,32,24,RMSprop,0.00037560330992116785,0.8828462824352719,112,0.4676004640169597,COMPLETE
108,0.003585866543450702,2024-10-17 12:11:07.963820,2024-10-17 12:13:40.136627,0 days 00:02:32.172807,72,50,0.00423823774303355,5,32,24,RMSprop,0.0007981156697819117,0.8164030408785047,112,0.5705395403322883,COMPLETE
109,0.005449501533973627,2024-10-17 12:13:40.143382,2024-10-17 12:14:56.536877,0 days 00:01:16.393495,80,50,0.0034288038084523977,5,36,12,RMSprop,0.0007573286096980633,0.8233342758325564,120,0.44995068776084024,COMPLETE
110,0.004514859581133963,2024-10-17 12:17:21.944432,2024-10-17 12:20:49.613643,0 days 00:03:27.669211,72,50,0.00420654751232669,5,32,80,RMSprop,0.0010159385305859164,0.8129933521507231,120,0.5289172339837411,COMPLETE
